SampleIDX,obs_class,null_class,obs_u,obs_v,obs_x,obs_y,null_u,null_v,null_x,null_y,delta_y
P5-01,2,1,0.5259163065662376,0.14786917582944148,0.5463087539777768,0.6510196387895857,0.5016234590405679,0.865086068169044,1.0,0.330945212548263,0.3200744262413227
P5-02,2,1,0.5168996375047493,0.016530469139680284,0.5171638924582024,0.9592956258645178,0.4121455021686652,0.9111180412230563,1.0,0.4591181481351939,0.5001774777293239
P5-03,2,1,0.6057563555896337,0.024584831967029694,0.6062550422883771,0.948353475529509,0.9152478529292815,0.40289126040203516,1.0,0.4720211110873628,0.4763323644421462
P5-04,0,1,0.015960161129567097,0.9987624947467941,0.9988900077867041,0.9796554446721021,0.5209446806275528,0.8535904402732359,0.9999999999999999,0.30231910753087876,0.6773363371412233
P5-05,2,1,0.14031500169346794,0.331580476732346,0.36004709726685447,0.4902969566646219,0.553511186178346,0.8328417417345508,1.0,0.25315044239626855,0.23714651426835337
P5-06,0,1,0.8292848247825988,0.023815780789871458,0.8296267305417159,0.9634445720480475,0.681490976148858,0.7318265159364454,0.9999999999999999,0.04532748158445508,0.9181170904635924
P5-07,0,1,0.8914832546845676,0.11461033700045935,0.89882029501472,0.8372035218629859,0.6485031847214401,0.7612119411873081,1.0,0.10158126103937169,0.7356222608236141
P5-08,0,1,0.05950709891831753,0.9713588717319144,0.9731799178538222,0.922096536677191,0.6432384651469151,0.7656659042659799,0.9999999999999999,0.11036156079892341,0.8117349758782676
P5-09,0,1,0.1422214626228296,0.8111709163516778,0.8235442914412058,0.7790108327326047,0.660565094737805,0.750768776397923,1.0,0.0812670138316527,0.697743818900952
P5-10,2,0,0.46505538494320436,0.14101685960240687,0.4859652927491807,0.6251407773006404,0.9786493896847077,0.20553679006384457,0.9999999999999999,0.7364239105212892,-0.11128313322064876
P5-11,0,1,-0.0,0.995381777632513,0.995381777632513,1.0,0.723254952529873,0.6905811130062933,0.9999999999999999,0.029419408527690562,0.9705805914723095
P5-12,2,1,0.19624361912002253,-0.0,0.19624361912002253,1.0,0.8031760588153107,0.5957417381264338,1.0,0.18743273315147133,0.8125672668485286
P5-13,2,0,0.4074304272256184,0.37500473771241033,0.5537401072127642,0.052735435598531354,0.21482237258058992,0.9766531360922597,0.9999999999999998,0.7243309665141434,-0.6715955309156121
P5-14,0,0,0.019298375885748863,0.9926793915842185,0.9928669607695896,0.9752504577808702,0.1672517603505888,0.985914219726863,0.9999999999999999,0.7860429140940991,0.18920754368677106
P5-15,0,1,0.7944029412408923,0.29116361444670136,0.8460805419283958,0.5526925536117763,0.6569756981731597,0.7539117534631552,1.0,0.0873415962938616,0.46535095731791465
P5-16,0,1,0.0791770199160217,0.778451492743842,0.7824677162911566,0.8709414511592731,0.6937974151633797,0.7201702206510715,1.0,0.02374524350298846,0.8471962076562847
P5-17,0,1,0.9477109313582374,0.16379540367587556,0.9617613756443126,0.7820952882783065,0.8556450668606386,0.5175630585320531,1.0,0.3073571603230904,0.47473812795521614
P5-18,0,1,0.8878183625917746,0.31322190009341366,0.9414506910365875,0.5681596070559266,0.8494382801166984,0.5276879838241396,1.0,0.2922361355657608,0.27592347149016583
P5-19,2,1,0.6240734167276035,-0.0,0.6240734167276035,1.0,0.7859788361227616,0.6182534020667488,1.0,0.15136221061560007,0.8486377893843999
P5-20,2,1,0.46692316545653256,0.2869079809304148,0.5480268533215464,0.29846060709346,0.6897941611473358,0.7240055353704443,1.0000000000000002,0.03080406337905152,0.2676565437144085
